fy,firm,state,city,penalty_usd,source_url,raw
FY2016,"KSK Builders, LLC",CO,,
FY2016,"Summit Renovations, Inc",CO,,
FY2016,"Arntz Builders, Inc",CA,,
FY2016,"Jeff Luchetti Construction, Inc",CA,,
FY2016,"Pinguelo Construction, Inc",CA,,
FY2016,Rainbow Waterfproofing & Restoration Co,CA,,,https://www.epa.gov/enforcement/fy2016-enforcement-actions-lead-renovation-repair-and-painting-rule-rrp
FY2016,"Rodan Builders, Inc",CA,,
FY2016,Roebbelen Contracting Co,CA,,,https://www.epa.gov/enforcement/fy2016-enforcement-actions-lead-renovation-repair-and-painting-rule-rrp
FY2016,Seven Island Painting Inc,CA,,,https://www.epa.gov/enforcement/fy2016-enforcement-actions-lead-renovation-repair-and-painting-rule-rrp
FY2016,"S.J. Amoroso Construction Co, Inc",CA,,
FY2016,"Svala Construction, Inc",CA,,
FY2016,"USS Cal Builders, Inc",CA,,
FY2016,Vila Construction Co,CA,,,https://www.epa.gov/enforcement/fy2016-enforcement-actions-lead-renovation-repair-and-painting-rule-rrp
FY2016,"Zolman Construction and Development Co., Inc",CA,,
FY2016,"Environmental Compliance Specialists, Inc",NH,,
FY2016,Brady Sullivan,NH,,,https://www.epa.gov/enforcement/fy2016-enforcement-actions-lead-renovation-repair-and-painting-rule-rrp
FY2016,"Pike International, et al",CT,,
FY2016,"Limoge Properties and Limoge Properties, LLC",VT,,
FY2016,Dean C. Bennett d/b/a Affordable Tuckpointing,MO,,,https://www.epa.gov/enforcement/fy2016-enforcement-actions-lead-renovation-repair-and-painting-rule-rrp
FY2016,"Superior Restoration & Construction, LLC",KS,,
FY2017,Maureen S. Walck,NY,,100000,https://www.epa.gov/enforcement/epas-lead-based-paint-enforcement-helps-protect-children-and-vulnerable-communities
FY2017,"Civil Judicial Consent Decree Accolade Construction Group, Inc",NY,,58000
FY2017,Estate of Anson Smith,MD,,1402006,https://www.epa.gov/enforcement/epas-lead-based-paint-enforcement-helps-protect-children-and-vulnerable-communities
FY2017,"Haven Homes, Inc",CA,,148618
FY2017,Cityside Management Corp,NH,,145346,https://www.epa.gov/enforcement/epas-lead-based-paint-enforcement-helps-protect-children-and-vulnerable-communities
FY2017,"Brady Sullivan Millworks II, LLC, et al",NH,
FY2017,"KGN Asset Management, LLC, KGN Asset Management, Inc., and Restoration Realty
FY2017,Best Value Home Improvements,CA,,38990,https://www.epa.gov/enforcement/epas-lead-based-paint-enforcement-helps-protect-children-and-vulnerable-communities
FY2017,"BOA Windows, Inc., d/b/a Window World of the Capital District",NY,
FY2017,"Fruit Hill Orchard, Inc",VA,,
FY2017,"Zipco Contracting, Inc",MO,,
FY2017,"Denver Design Build, LLC",CO,,
FY2017,"Simply Building, Inc",CA,,
FY2017,"Taras Home Designs, LLC",NJ,,
FY2017,"MJM Enterprises, d/b/a Baltimore Paint Authority",MD,,
FY2017,"The Bellepoint Company, LLC",OH,,
FY2017,Complete Xterior,NE,,,https://www.epa.gov/enforcement/epas-lead-based-paint-enforcement-helps-protect-children-and-vulnerable-communities
FY2017,"Construction and Abatement Services, Inc",MO,,
FY2017,"Lime Painting, LLC",CO,,
FY2017,"Solid Ground Homes, LLC",CO,,
FY2017,"Regal Construction, Inc",CO,,
FY2017,"K. Kittle, LLC, d/b/a Rebath & 5 Day Kitchens",AZ,
FY2017,"Holland & Harley Construction, Inc",CA,,
FY2017,"Settlements Less than $10,000 National Construction, LLC",CT,
FY2017,"Robinson’s Painting and Home Improvement, LLC",CT,,
FY2017,"New York Environmental Systems, Inc",NY,,
FY2017,"Skyline Restoration, Inc",NY,,
FY2017,"Brian Nash, d/b/a Quality Custom Construction",NY,,
FY2017,Chillemi Construction Corp,NJ,,,https://www.epa.gov/enforcement/epas-lead-based-paint-enforcement-helps-protect-children-and-vulnerable-communities
FY2017,"A&D Construction of Virginia, LLC",VA,,
FY2017,"Alex Properties, Inc., d/b/a Alex Restoration and Masonry Repairs",PA,
FY2017,"Krabel Properties, LLC",PA,,
FY2017,"Paquin Design / Build, Inc",MD,,
FY2017,"Shanan John Lucas, d/b/a Lucas Paints",PA,,
FY2017,"McNamara Masonry Restoration, Inc",PA,,
FY2017,Justine Bird d/b/a Bird’s Eye View Construction,PA,,,https://www.epa.gov/enforcement/epas-lead-based-paint-enforcement-helps-protect-children-and-vulnerable-communities
FY2017,Peter del Cardayre,VA,,,https://www.epa.gov/enforcement/epas-lead-based-paint-enforcement-helps-protect-children-and-vulnerable-communities
FY2017,"JLD Services, Inc., d/b/a 360 Painting of Northeast PA",PA,
FY2017,"Two Bulls Construction, LLC",MD,,
FY2017,"Lancaster Craftsmen Builders, Inc",MD,,
FY2017,"Audubon Communities, d/b/a Bella Apts",GA,,
FY2017,"Emerald Coast Constructors, Inc",FL,,
FY2017,"Lifetime Enclosures, Inc",FL,,
FY2017,"Island Builders of Hilton Head, Inc",SC,,
FY2017,"Vieth Construction, Inc",FL,,
FY2017,"Window World of Myrtle Beach, Inc",SC,,
FY2017,"Highland Construction & Development, Inc",FL,,
FY2017,"Strive Properties, LLC",TN,,
FY2017,"H&W Windows and Repair Service, Inc",FL,,
FY2017,New South Window Solutions,FL,,,https://www.epa.gov/enforcement/epas-lead-based-paint-enforcement-helps-protect-children-and-vulnerable-communities
FY2017,"Sterling Window System, Inc",TN,,
FY2017,"Strategic Management Partners, d/b/a Sienna Heights Apts",GA,,
FY2017,"Chuck Bennett Contracting Co., Inc",SC,,
FY2017,Hazelwood Construction Co,SC,,,https://www.epa.gov/enforcement/epas-lead-based-paint-enforcement-helps-protect-children-and-vulnerable-communities
FY2017,"Paul Davis Systems, Inc., d/b/a Paul Davis Restoration of Orlando",FL,
FY2017,Paul Davis Restoration of North Florida,FL,,,https://www.epa.gov/enforcement/epas-lead-based-paint-enforcement-helps-protect-children-and-vulnerable-communities
FY2017,"Meadors Construction, Inc",SC,,
FY2017,Bennett Hofford Construction Co,SC,,,https://www.epa.gov/enforcement/epas-lead-based-paint-enforcement-helps-protect-children-and-vulnerable-communities
FY2017,Arcadia Restoration,TN,,,https://www.epa.gov/enforcement/epas-lead-based-paint-enforcement-helps-protect-children-and-vulnerable-communities
FY2017,"Metro Builders, Inc",TN,,
FY2017,"Derby Door & Window, LLC",FL,,
FY2017,"Bath & Kitchen Gallery, Inc",FL,,
FY2017,"Ben Tyler Builder & Remodeling, Inc",FL,,
FY2017,"Realm 102, d/b/a Realm Apartments",FL,,
FY2017,The Environmental Institute,GA,,,https://www.epa.gov/enforcement/epas-lead-based-paint-enforcement-helps-protect-children-and-vulnerable-communities
FY2017,"Waseca Quality Siding and Window, Inc",MN,,
FY2017,Miron Masonry Co,IL,,,https://www.epa.gov/enforcement/epas-lead-based-paint-enforcement-helps-protect-children-and-vulnerable-communities
FY2017,"Hal Myers Construction, Inc",MO,,
FY2017,"The Employer Advantage, LLC",MO,,
FY2017,"Urban Improvements Construction, LLC",MO,,
FY2017,"D.A. Bates Painting, Inc",MO,,
FY2017,"Crestwood Painting, LLC",MO,,
