npdes_id,facility_name,address,city,state,zip,lat,lng,lifetime_qtrs_any_snc,current_pollution_snc_streak,first_snc_qtr,enforcement_status
NM0020150,CITY OF BELEN WWTP,1300 CONSERVANCY ROAD,BELEN,NM,87002,34.643361,-106.776694,12,4,19991,no_formal_or_informal_action_since_2023-05
NY0006874,HOLCIM (US) INC - CATSKILL PLANT,134 EMBOUGHT RD,CATSKILL,NY,12414,42.165556,-73.909444,43,3,20003,no_formal_or_informal_action_since_2023-05
ILG640205,MATTOON EATER TREATMENT PLANT,2941 LAKE ROAD,MATTOON,IL,61938,39.4175,-88.428333,33,5,20073,no_formal_or_informal_action_since_2023-05
LAG110336,"ON-SITE CONCRETE SOLUTIONS, LLC",21215 HWY 23,SULPHUR,LA,70083,29.594344,-89.859331,5,5,20252,no_formal_or_informal_action_since_2023-05
WV0099392,SUGARTREE SURFACE MINE,US 119 SOUTH SHAFFER ROAD,MADISON,WV,25130,38.0842,-81.9025,38,24,20171,no_formal_or_informal_action_since_2023-05
ILG640225,COUNTRY TYME ESTATES WTP,1301 E LEVERETT RD,CHAMPAIGN,IL,61822,40.188056,-88.218333,10,3,20084,no_formal_or_informal_action_since_2023-05
MAG912169,55 INDIA STREET,55 INDIA STREET,BOSTON,MA,02110,42.357851,-71.052250,4,4,20253,no_formal_or_informal_action_since_2023-05
WV1020510,GUYAN SURFACE MINE,CR 14,YOLYN,WV,25654,37.8125,-81.7764,30,9,20171,no_formal_or_informal_action_since_2023-05
LAG540965,"MAGNOLIA WATER UTILITY OPERATING CO., LLC- PENN'S PLACE",END OF PEN DR,WALKER,LA,70000,30.461111,-90.857222,98,98,20021,no_formal_or_informal_action_since_2023-05
MN0001937,AMERICAN CRYSTAL SUGAR - EAST GRAND FORKS,US HIGHWAY 2E,EAST GRAND FORKS,MN,56721,47.927222,-97.006667,11,9,20224,no_formal_or_informal_action_since_2023-05
LAG542103,BRIDGETS PLACE TRAILER PARK,9128 FLORIDA BLVD,WALKER,LA,70785,30.484806,-90.894917,7,5,20223,no_formal_or_informal_action_since_2023-05
LAG540618,"MAGNOLIA WATER UTILITY OPERATING CO., LLC- HILLSHIRE",DEPEN ST.,DUTCH TOWN,LA,70737,30.258056,-90.965556,100,100,20013,no_formal_or_informal_action_since_2023-05
IA0028525,NEW HAMPTON CITY OF STP,800 SOUTH LOCUST AVENUE,NEW HAMPTON,IA,50659,43.04746,-92.31405,18,5,19993,no_formal_or_informal_action_since_2023-05
WVG550575,"POLK SANITATION DEVELOPMENT, INC.",59 1ST AVE,MURRAYSVILLE,WV,26164,39.0472,-81.7917,17,4,20184,no_formal_or_informal_action_since_2023-05
NY0104809,BERGEN POINT WWTP,600 BERGEN AVENUE,WEST BABYLON,NY,11704,40.674306,-73.342389,13,5,20092,no_formal_or_informal_action_since_2023-05
LAG540113,"MAGNOLIA WATER UTILITY OPERATING CO., LLC- OREGON TRAIL",OREGON TRAIL,LAFAYETTE,LA,70503,30.214167,-92.111667,95,95,20024,no_formal_or_informal_action_since_2023-05
MAG590031,AYER W W T P,BROOK STREET,AYER,MA,01432,42.560833,-71.603611,12,10,20233,no_formal_or_informal_action_since_2023-05
MO0137839,SAVERS FARM SUBDIVISION WWTF,COUNTY ROAD 302,JACKSON,MO,63755,37.4025797,-89.639674,14,4,20204,no_formal_or_informal_action_since_2023-05
OH0021032,BLOOMVILLE WWTP,NORTH DOUGLAS STREET,BLOOMVILLE,OH,44818,41.057639,-83.01925,88,41,20031,no_formal_or_informal_action_since_2023-05
MO0139505,CAMDEN POINT,101 THIRD ST,CAMDEN POINT,MO,64018,39.456633,-94.756552,3,3,20254,no_formal_or_informal_action_since_2023-05
MO0116301,COUNTY LINE ESTATES WWTF,0.25 MI EAST OF THE INTERSECTION OF PARK,FULTON,MO,65251,38.9330035,-92.133305,11,3,20201,no_formal_or_informal_action_since_2023-05
ILG640016,HARVEL WATERWORKS SYSTEM,77 E 50 NORTH RD,HARVEL,IL,62538,39.356375,-89.5300381,49,7,20114,no_formal_or_informal_action_since_2023-05
LA0127775,"NATIONAL WATER INFRASTRUCTURE, LLC - LAMAR DIXON WWTP",9039 ST LANDRY RD,GONZALES,LA,70000,30.189814,-90.953809,3,3,20254,no_formal_or_informal_action_since_2023-05
MO0133086,OAK RIDGE WWTP,0.5 MILES EAST OF HWY D AND,OAK RIDGE,MO,63769,37.4941693,-89.718331,8,0,20192,no_formal_or_informal_action_since_2023-05
WV0084433,PINE GROVE TOWN OF,NORTH END OF LONG ADDITION,PINE GROVE,WV,26419,39.5606,-80.6903,51,0,20063,no_formal_or_informal_action_since_2023-05
LAG541119,WILOW VILLAS SUBDIVISION,KLEIN RD,HAMMOND,LA,70403,30.49,-90.492222,20,4,20151,no_formal_or_informal_action_since_2023-05
COR415370,CANYONS SOUTH F2,NE LONGSTORY AVE & OFFBEATEN PL,UNINCORPORATED,CO,80108,39.416070,-104.820520,3,3,20254,no_formal_or_informal_action_since_2023-05
MO0035742,LAKE FOREST CLEAN WATER DISTRICT WWTF,0.6 MILES NE OF HWY O AND LAKEWOOD,STE. GENEVIEVE,MO,63670,37.9561901,-90.208339,34,9,20162,no_formal_or_informal_action_since_2023-05
MAG640009,MYERS AVENUE W T P,MYERS AVENUE,ABINGTON,MA,02351,42.098889,-70.939444,8,8,20243,no_formal_or_informal_action_since_2023-05
NM0027731,VILLAGE OF CHAMA,WASTE WATER PLANT,CHAMA,NM,87520,36.928361,-106.591694,66,4,20042,no_formal_or_informal_action_since_2023-05
LAG540110,"MAGNOLIA WATER UTILITY OPERATING CO., LLC- MAGNOLIA WOODS",GREENFIELDS,LAFAYETTE,LA,70593,30.330556,-92.017778,101,101,20012,no_formal_or_informal_action_since_2023-05
LAG560257,TWIN LAKE ESTATES,HOWES CEMETARY ROAD,PONCHATOULA,LA,70454,30.431389,-90.371389,17,3,20153,no_formal_or_informal_action_since_2023-05
OH0054526,GREEN MEADOWS MHP,1 THORNLOCUST LANE,LONDON,OH,43140,39.9875,-83.391667,33,7,20013,no_formal_or_informal_action_since_2023-05
WVG551155,AURORA SCHOOL,AURORA SCHOOL SITE,AURORA,WV,26705,39.3244,-79.5503,21,3,20171,no_formal_or_informal_action_since_2023-05
PA0026361,LOWER LACKAWANNA VALLEY SANITARY AUTHORITY,COXTON RD,DURYEA,PA,18642-2067,41.348611,-75.780556,32,8,19961,no_formal_or_informal_action_since_2023-05
NHG580020,WOODSTOCK W W T P,ROUTE 175 OLD DUMP ROAD,NORTH WOODSTOCK,NH,03262,44.024329,-71.680759,4,0,20253,no_formal_or_informal_action_since_2023-05
MO0134732,BERGER WWTF,404 ROSALIE,BERGER,MO,63014,38.6746647,-91.331249,13,3,20163,no_formal_or_informal_action_since_2023-05
CTUIC0477,"HILLANDALE FARMS CONN, LLC",17 SCHWARTZ ROAD,BOZRAH,CT,06334-1009,41.56891,-72.17146,38,4,20171,no_formal_or_informal_action_since_2023-05
WV1016776,WESTRIDGE MINE,SOUTH SHAFFER ROAD,MADISON,WV,25130,38.0719,-81.9653,38,24,20171,no_formal_or_informal_action_since_2023-05
MO0092525,VERONA WWTP,WEST TERMINUS OF W ASH ST,VERONA,MO,65769,36.966778,-93.801422,14,4,20191,no_formal_or_informal_action_since_2023-05
NY0024899,CATO-MERIDIAN ELEM/MIDDLE AND HIGH SCHOOLS & BUS GARAGE,2851 ROUTE 370 E,CATO,NY,13033,43.176944,-76.552500,30,9,20174,no_formal_or_informal_action_since_2023-05
WIR05IA0D,GREEN BAY AUSTIN STRAUBEL INTERNATIONAL AIRPORT,2077 AIRPORT DRIVE,GREEN BAY,WI,54313,44.492300,-88.127700,8,5,20242,no_formal_or_informal_action_since_2023-05
WYG740952,"SMITH'S #182 FUEL CENTER - ROCK SPRINGS, WY",2558 FOOTHILL BLVD.,ROCK SPRINGS,WY,82901,41.5829565,-109.261914,3,3,20254,no_formal_or_informal_action_since_2023-05
MO0130958,INDIAN SPRING ESTATES WWTF,INDIAN SPRING DRIVE,JACKSON,MO,63755,37.388611,-89.721949,28,13,20164,no_formal_or_informal_action_since_2023-05
CA0030236,CUPERTINO QUARRY,12100 STEVENS CANYON RD,CUPERTINO,CA,95014-5443,37.29643,-122.08015,17,0,20222,no_formal_or_informal_action_since_2023-05
LAG540093,"MAGNOLIA WATER UTILITY OPERATING CO., LLC- COTE GELEE APARTMENTS","SOUTH DOMINIC GIROORD, OFF US 90",LAFAYETTE,LA,70593,30.148056,-91.948889,98,98,20021,no_formal_or_informal_action_since_2023-05
LAG570565,CALCASIEU PARISH POLICE JURY,4879 HWY 14 EAST,IOWA,LA,70647,30.157306,-93.107000,16,8,20182,no_formal_or_informal_action_since_2023-05
TN0042072,FIRST UTILITY DISTRICT OF HARDIN COUNTY WTP,7935 HIGHWAY 57,COUNCE,TN,38365,35.051,-88.247,17,0,19991,no_formal_or_informal_action_since_2023-05
LAG540375,"MAGNOLIA WATER UTILITY OPERATING CO., LLC- LA AMITE","END OF LATIMER DR, OFF LA HWY 1028",DENHAM SPRINGS,LA,70726,30.515,-90.962222,101,101,20012,no_formal_or_informal_action_since_2023-05
WV1020005,CHERRY TREE REFUSE FACILITY,OFF PUB ROAD 2/2,ASHFORD,WV,25009,38.2106,-81.7789,25,5,20181,no_formal_or_informal_action_since_2023-05
WV1013599,RUFFNER MINE,RUM CREEK ROAD,YOLYN,WV,25654,37.8158,-81.8789,35,24,20171,no_formal_or_informal_action_since_2023-05
WVG551009,MIDWAY ELEMENTARY,267 MIDWAY ROAD,ALUM CREEK,WV,25003,38.26,-81.8364,6,3,20194,no_formal_or_informal_action_since_2023-05
IDG910006,ATLANTA GOLD CORPORATION OF AMERICA INC - ATLANTA GOLD PROJECT,1.5 MILES SOUTH OF ATLANTA ON MINE HILL ROAD,ATLANTA,ID,83601,43.791903,-115.112008,58,32,20102,no_formal_or_informal_action_since_2023-05
LAG540088,"MAGNOLIA WATER UTILITY OPERATING CO., LLC- BEAU CHAMPS SUBDIVISION",132 CHICKORY LN,LAFAYETTE,LA,70503,30.142778,-92.116944,101,101,20012,no_formal_or_informal_action_since_2023-05
PA0218081,WHEMCO STEEL CASTINGS INC,601 W 7TH AVE,HOMESTEAD,PA,15120-1064,40.392222,-79.932222,5,5,20252,no_formal_or_informal_action_since_2023-05
MD0020842,USDA EAST-SIDE WWTP,BUILDING 218 BARC-EAST,BELTSVILLE,MD,20705,39.024722,-76.886111,35,26,20124,no_formal_or_informal_action_since_2023-05
MO0112224,HIGHVIEW SUBDIVISION WEST WWTF,SOUTH OF HWY H AND CR 305 INTERSECTION,FULTON,MO,65251,38.8207738,-92.01261,27,3,20151,no_formal_or_informal_action_since_2023-05
WVG640034,BIG SPRINGS WTP,2219 WINCHESTER AVENUE,MARTINSBURG,WV,25401,39.4264,-77.9864,28,12,20173,no_formal_or_informal_action_since_2023-05
OH0147621,NEWTONSVILLE AREA WASTEWATER TREATMENT PLANT,800 WRIGHT STREET,NEWTONSVILLE,OH,45158,39.178916,-84.090021,13,7,20174,no_formal_or_informal_action_since_2023-05
