npdes_id,facility_name,address,city,state,zip,lat,lng,lifetime_qtrs_any_snc,current_pollution_snc_streak,first_snc_qtr,enforcement_status
NY0280836,THE ORCHARDS WWTP,LABAUGH RD .5 MILE WEST OF LEVINE ROAD,FALLSBURG,NY,12779,41.783611,-74.645000,16,8,20212,no_formal_federal_action_since_2023-05;has_informal_action
OH0138118,WHISPERING WINDS MOBILE HOME COMMUNITY,13555 NEAPOLIS-WATERVILLE RD,GRAND RAPIDS,OH,43522,41.49444,-83.86727,15,4,20101,no_formal_federal_action_since_2023-05;has_informal_action
MO0114910,LABADIE WWTF,0.2 MILES NORTHEAST OF PACIFIC STREET,LABADIE,MO,63055,38.5319451,-90.846106,26,6,20181,no_formal_federal_action_since_2023-05;no_informal_action
TN0020613,MCKENZIE STP,482 CLARK STREET,MC KENZIE,TN,38201,36.124574,-88.509011,50,4,19961,no_formal_federal_action_since_2023-05;has_informal_action
LAG540620,"MAGNOLIA WATER UTILITY OPERATING CO., LLC- OLD PERKINS PLACE",OLD PERKINS ROAD,PRAIRIEVILLE,LA,70769,30.327222,-90.911389,103,101,20001,no_formal_federal_action_since_2023-05;no_informal_action
LA0046558,FLORIEN PLYWOOD PLANT,225 STUDEMAN ST.,FLORIEN,LA,71429,31.456111,-93.460556,17,10,20181,no_formal_federal_action_since_2023-05;no_informal_action
KY0020702,TOMPKINSVILLE STP,POPLAR LOG RD,TOMPKINSVILLE,KY,42167,36.7,-85.706389,76,5,19961,no_formal_federal_action_since_2023-05;has_informal_action
TX0133787,CITY OF CORRIGAN WWTP,0.25 M EAST I-H 59 AND E BEN FRANKLIN ST,CORRIGAN,TX,75939,30.999444,-94.821944,14,8,20184,no_formal_federal_action_since_2023-05;has_informal_action
NY0266230,FORT MILLER HYDRO PLANT,120 HARRIS ROAD,GANSEVOORT,NY,12831,43.160556,-73.583889,5,4,20212,no_formal_federal_action_since_2023-05;no_informal_action
MS0052523,METAL IMPACT SOUTH LLC,795 SAM T BARKLEY DRIVE,NEW ALBANY,MS,38652,34.519778,-89.007194,72,8,19993,no_formal_federal_action_since_2023-05;has_informal_action
UTG072018,THE SILOS BUILDING 3,569 SOUTH SILO PARK PLACE,SALT LAKE CITY,UT,84101,40.756696,-111.902971,3,3,20254,no_formal_federal_action_since_2023-05;has_informal_action
MD3876N22,LYHUS PROPERTY,12170 LIME KILN ROAD,FULTON,MD,20759,39.15053,-76.93312,6,0,20251,no_formal_federal_action_since_2023-05;no_informal_action
MI0057118,BRIDGEWATER TWP WWTP,8820 KAISER ROAD,SALINE,MI,48115,42.15523,-83.89784,21,5,20101,no_formal_federal_action_since_2023-05;has_informal_action
WV0022039,POINT PLEASANT WASTEWATER TREATMENT PLANT,SECOND AND WALNUT STREET,POINT PLEASANT,WV,25550,38.8375,-82.1364,36,11,20131,no_formal_federal_action_since_2023-05;no_informal_action
KY0090352,BUCKHORN ELEMENTARY & HIGH SCHOOL,18392 KY 28,BUCKHORN,KY,41721,37.346111,-83.473333,7,4,20103,no_formal_federal_action_since_2023-05;has_informal_action
LAG839003,KOURCO ENV SVC INC,STATEWIDE,LAFAYETTE,LA,70000,30.229374,-92.04674,12,10,20191,no_formal_federal_action_since_2023-05;no_informal_action
NY0211591,LAUNDRY PALACE CI,18 E SUFFOLK AVENUE,CENTRAL ISLIP,NY,11722,40.791222,-73.2005,30,17,20191,no_formal_federal_action_since_2023-05;no_informal_action
LAG570350,"CO-CO FOUR, LLC - COCO MARINA",106 PIER 56 CT,CHAUVIN,LA,70344,29.250556,-90.658333,27,8,20152,no_formal_federal_action_since_2023-05;has_informal_action
PA0063282,"FAIRLAND SEWER COMPANY, INC.",5426 ROUTE 873,SCHNECKSVILLE,PA,18078-2103,40.695,-75.583333,29,5,20182,no_formal_federal_action_since_2023-05;has_informal_action
KYGE40905,DDB ENERGY RESOURCES LLC [CONSOLIDATED],KY 66,ARJAY,KY,40977,36.84417,-83.63222,26,6,20192,no_formal_federal_action_since_2023-05;has_informal_action
LAG110072,TYCER READY MIX INC-,2105 HIGHWAY 190,HAMMOND,LA,70451,30.509722,-90.430833,5,5,20252,no_formal_federal_action_since_2023-05;no_informal_action
OH0131121,"TRILLIUM FARM HOLDINGS, LLC - CROTON LAYER SITE 1",11995 CROTON ROAD,CROTON,OH,43013,40.214081,-82.686165,10,4,20173,no_formal_federal_action_since_2023-05;no_informal_action
IN0058441,ST JOE - SPENCERVILLE RSD,6313 SR 1,ST. JOE,IN,46785,41.304694,-84.903694,20,3,19964,no_formal_federal_action_since_2023-05;has_informal_action
IN0025615,"RICHMOND WWTP, CITY OF",2380 LIBERTY AVE,RICHMOND,IN,47374,39.802694,-84.910444,19,11,19994,no_formal_federal_action_since_2023-05;has_informal_action
MS0020320,INVERNESS POTW,802 EAST GRAND AVENUE,INVERNESS,MS,38753,33.345583,-90.594694,10,7,20183,no_formal_federal_action_since_2023-05;has_informal_action
NY0024929,WHITEHALL (V) WWTP,RIVERSIDE DRIVE,WHITEHALL,NY,12887,43.546778,-73.402889,78,3,20033,no_formal_federal_action_since_2023-05;no_informal_action
WV0102253,NEW VRINDABAN COMMUNITY,3759 MCCREARY'S RIDGE ROAD,MOUNDSVILLE,WV,26041,39.97,-80.6042,16,3,20084,no_formal_federal_action_since_2023-05;no_informal_action
OH0021326,PAYNE WWTP,HARRISON TWP RD 55,PAYNE,OH,45880,41.082671,-84.7001,42,4,20034,no_formal_federal_action_since_2023-05;no_informal_action
TX0027031,CITY OF DAINGERFIELD WWTF,5500FT SE INT OF US HWY 259 FM 11 & FM 49,DAINGERFIELD,TX,75638,33.019444,-94.711111,27,9,20104,no_formal_federal_action_since_2023-05;has_informal_action
KY0090590,CLARKSON STP,526 SPRING ST,CLARKSON,KY,42726,37.4875,-86.214722,46,14,20024,no_formal_federal_action_since_2023-05;has_informal_action
MOGD00178,ROCK LANE RESORT AND MARINA WWTF,611 ROCK LANE RD,BRANSON,MO,65616,36.6376117,-93.338391,15,5,20193,no_formal_federal_action_since_2023-05;no_informal_action
NJ0027006,RINGWOOD ACRES TREATMENT PLANT,JAMES DR,RINGWOOD BORO,NJ,07456,41.078278,-74.260742,21,6,20202,no_formal_federal_action_since_2023-05;has_informal_action
WV1017225,BERRY BRANCH UNDERGROUND MINE,US RT. 119 SOUTH SHAFFER ROAD EXIT,MADISON,WV,25130,38.0931,-81.9011,38,24,20171,no_formal_federal_action_since_2023-05;no_informal_action
MAG912201,GREATER CAMBRIDGE ENERGY PROGRAM - ROUTE K5A,25-85 BROADWAY,CAMBRIDGE,MA,02142,42.360971,-71.088381,4,3,20253,no_formal_federal_action_since_2023-05;no_informal_action
MS0055913,THE BOLIVAR COUNTY CORRECTIONAL FACILITY,2792 HWY 8 WEST,CLEVELAND,MS,38732,33.768028,-90.805639,20,7,20071,no_formal_federal_action_since_2023-05;has_informal_action
COR900651,PROTECTO WRAP,2255 S DELAWARE ST,DENVER,CO,80216,39.675592,-104.992667,42,42,20161,no_formal_federal_action_since_2023-05;no_informal_action
TX0052949,MABANK WWTP,.43 M SW OF INT OF ADAIR RD AND EASLEY PWY,MABANK,TX,75147,32.363055,-96.120833,30,13,20133,no_formal_federal_action_since_2023-05;has_informal_action
COR421950,MURPHY CREEK SUBDIVISION NO 20,S. GUNCLUB RD AND E. MISSISSIPPI AVE.,AURORA,CO,80016,39.696299,-104.715339,3,3,20254,no_formal_federal_action_since_2023-05;no_informal_action
AR0051144,"TISDALE PROPERTIES & DEVELOPMENT, LLC - CUTOFF CORNER CAFE",27024 KANIS ROAD,LITTLE ROCK,AR,72223,34.778667,-92.557417,21,5,20094,no_formal_federal_action_since_2023-05;no_informal_action
ID0021784,"POCATELLO, CITY OF - POCATELLO WATER POLLUTION CONTROL FACILITY (WPCF)",10733 NORTH RIO VISTA ROAD,POCATELLO,ID,83202,42.915419,-112.519068,17,6,20063,no_formal_federal_action_since_2023-05;has_informal_action
NJ0022144,HAGEDORN PSYCHIATRIC HOSPITAL,200 SANITORIUM RD,LEBANON TWP,NJ,08826,40.692853,-74.918297,10,4,20193,no_formal_federal_action_since_2023-05;has_informal_action
IA0025861,DANVILLE CITY OF STP,UNKNOWN,DANVILLE,IA,52623,40.85082,-91.3106,7,5,19994,no_formal_federal_action_since_2023-05;no_informal_action
KY0088650,HUNTINGTON WOODS ESTATES,5011 HUNTINGTON WOODS RD,FRANKFORT,KY,40601,38.141111,-84.988611,43,28,20032,no_formal_federal_action_since_2023-05;has_informal_action
LAG33A149,"LAMAR INVESTMENTS LA, LLC",BAYOU JEAN LACROIX FIELD PRODUCTION FACILITY,MONTEGUT,LA,70000,29.375556,-90.451139,31,31,20184,no_formal_federal_action_since_2023-05;no_informal_action
LAG750444,GRAMERCY CARWASH,801 N. AIRLINE AVENUE,GRAMERCY,LA,70052,30.060556,-90.698333,6,3,20251,no_formal_federal_action_since_2023-05;no_informal_action
PA0080594,NORTH AMERICAN PIPE CORP - BRISTOL,88 NEWPORT RD,LEOLA,PA,17540-1821,40.078778,-76.188444,15,8,20174,no_formal_federal_action_since_2023-05;has_informal_action
MIG640258,BENTON HARBOR WTP,601 NORTH RIDGEWAY DRIVE,SAINT JOSEPH,MI,49085,42.1239,-86.4744,31,15,20174,no_formal_federal_action_since_2023-05;has_informal_action
TX0107867,TOWN OF VAN HORN SEWAGE TREATMENT PLANT,1 MILE SE OF THE INTERSECTION OF US HWY 10,VAN HORN,TX,79855,31.028888,-104.82,28,0,20043,no_formal_federal_action_since_2023-05;has_informal_action
WV0056332,CHESTERFIELD PREP PLANT,RT 85/07,UNEEDA,WV,25130,38.0147,-81.7269,27,5,20182,no_formal_federal_action_since_2023-05;no_informal_action
WI0070645,WESTBY COOP CREAMERY,"NE1/4 NE1/4, SEC 32 T14N R4W, HIGHLAND ST., TOWN O",WESTBY,WI,54667,43.65,-90.85,64,11,19961,no_formal_federal_action_since_2023-05;no_informal_action
MO0055751,VIBURNUM WWTF,ST JOSEPH ST AND ORE HAUL RD,VIBURNUM,MO,65566,37.7109202,-91.116113,5,3,20183,no_formal_federal_action_since_2023-05;no_informal_action
TX0023213,CITY OF BRECKENRIDGE WWTP,6000' NW OF INTX OF US HWY 180 & US HWY 183,BRECKENRIDGE,TX,76424,32.772222,-98.898055,24,4,20103,no_formal_federal_action_since_2023-05;has_informal_action
FL0037966,ORLANDO/IRON BRIDGE REGIONAL WRF,601 IRON BRIDGE CIR,OVIEDO,FL,32765-8283,28.6263176,-81.2205119,10,3,19964,no_formal_federal_action_since_2023-05;no_informal_action
